size,density,graph_type,mst_algo,mean,median,stdev,min,max,count
50,0,list,prims,0.01807466250102152,0.014565791501809144,0.00638348792997284,0.013117125003191177,0.027979083999525756,10
50,0,list,kruskals,0.015550487498694565,0.015305228997021914,0.0011027103253731904,0.014448209003603552,0.017125874997873325,10
50,25,matrix,prims,0.3285795919007796,0.32888006300345296,0.005334861058145938,0.31969904199650045,0.3376612079955521,10
50,25,matrix,kruskals,0.359233954098454,0.3496203959948616,0.023071855098512152,0.3377199999958975,0.4128564999991795,10
50,25,list,prims,0.018051237300096546,0.016127187500387663,0.0051712677201053376,0.014707124995766208,0.028135499997006264,10
50,25,list,kruskals,0.021842641400144202,0.02187754150145338,0.0003165254729514749,0.02140000000508735,0.022277125004620757,10
50,50,matrix,prims,0.33651308320040696,0.32931245799773023,0.022883197727107417,0.3221293329988839,0.399905584003136,10
50,50,matrix,kruskals,0.36262203750011396,0.3514082709989452,0.024232698222349403,0.34435054200002924,0.421807708000415,10
50,50,list,prims,0.02195384590086178,0.019020291500055464,0.0060448909647417325,0.01607095900544664,0.029677999998966698,10
50,50,list,kruskals,0.026213400100823493,0.026109728998562787,0.001314709491951506,0.02439520799816819,0.029275000000779983,10
50,75,matrix,prims,0.3326361375991837,0.33192554199922597,0.006214185388681189,0.32514412500313483,0.34525899999425747,10
50,75,matrix,kruskals,0.36176657490141223,0.3593545625008119,0.012530162448675506,0.34484145800524857,0.38707720799720846,10
50,75,list,prims,0.021705087399459443,0.018851020504371263,0.005560244069202181,0.016901333998248447,0.029769415996270254,10
50,75,list,kruskals,0.028328137400239938,0.027972541502094828,0.0016405087213453829,0.026292540998838376,0.03101783400052227,10
50,100,matrix,prims,0.3291299669013824,0.3281146249973972,0.005226393255638286,0.32194354200328235,0.33741595900210086,10
50,100,matrix,kruskals,0.36818257909981184,0.37166139550026855,0.011626135626665493,0.3474026249969029,0.380659291993652,10
50,100,list,prims,0.01972277500099153,0.01736364600219531,0.0051786332548126295,0.016966208000667393,0.029660375003004447,10
50,100,list,kruskals,0.029471633399953134,0.028157625001767883,0.004636874096820144,0.027230625004449394,0.04257266700005857,10
100,0,matrix,prims,5.562088308401871,5.440131146002386,0.4786065223945647,4.997944833005022,6.453054000005068,10
100,0,matrix,kruskals,6.266528291701252,5.753350228496856,1.0518303802236884,5.340937834000215,7.958351250003034,10
100,0,list,prims,0.25758129590103634,0.20502864550144295,0.17193918560008054,0.11105837499781046,0.5633949590046541,10
100,0,list,kruskals,0.16505053339933512,0.0657587709974905,0.17095124846270737,0.06069995799771277,0.47832979200029513,10
100,25,matrix,prims,5.723886300200684,5.704268875000707,0.3902152198299969,5.219685666997975,6.285143583998433,10
100,25,matrix,kruskals,6.55247891649924,6.252227375000075,0.7652400451906683,5.5965368329998455,8.005290665998473,10
100,25,list,prims,0.29020366260228914,0.2324384795028891,0.24008763374237063,0.12112700000579935,0.909472375002224,10
100,25,list,kruskals,0.2035103333990264,0.10788295849852148,0.14493978015989606,0.08995854199747555,0.4695506669959286,10
100,50,matrix,prims,6.019860758401046,5.843954354499147,0.5689017850711127,5.3379304589980165,6.857745125002111,10
100,50,matrix,kruskals,6.3292279166984375,6.151641124499292,0.6139741380697686,5.765728334001324,7.813221707998309,10
100,50,list,prims,0.2769322875996295,0.15149739599655732,0.23648409717022686,0.12569508400338236,0.8630456249957206,10
100,50,list,kruskals,0.1712551999007701,0.12087160400187713,0.08692169926387935,0.11124079200089909,0.30102150000311667,10
100,75,matrix,prims,6.013580924998678,5.971290374498494,0.5710987386865125,5.104366499996104,7.102228291994834,10
100,75,matrix,kruskals,6.465359153899044,6.257028416501271,0.587854570634948,5.7756412499948055,7.361944999996922,10
100,75,list,prims,0.31709090009899227,0.29555162500037113,0.2327660129005943,0.1273014999969746,0.9331296250020387,10
100,75,list,kruskals,0.18080949599825544,0.1332598750013858,0.08634736517728761,0.11698249999608379,0.3112959589998354,10
100,100,matrix,prims,5.63109874149959,5.591255250001268,0.3559745440460445,4.971493165998254,6.303465249999135,10
100,100,matrix,kruskals,6.335672058400815,6.156690812498709,0.8465667840472013,5.435692375001963,8.054067584002041,10
100,100,list,prims,0.30108026249945397,0.15697804149749572,0.2560176742053205,0.13815687500027707,0.8386150000005728,10
100,100,list,kruskals,0.16430583350011146,0.1292107084991585,0.07418458277229316,0.12095749999571126,0.3059784170036437,10
