size,density,graph_type,mst_algo,runtime
20,75,matrix,kruskals,0.011419792004744522
20,75,matrix,kruskals,0.011498124993522651
20,75,list,prims,0.002047709
20,75,list,prims,0.0018775
20,75,list,prims,0.001903042
20,75,list,prims,0.001874542
20,75,list,prims,0.001865458
20,75,list,prims,0.001878917
20,75,list,prims,0.0020395
20,75,list,prims,0.001888375
20,75,list,prims,0.001932459
20,75,list,prims,0.0018735
20,75,list,kruskals,0.003877041
20,75,list,kruskals,0.004038584
20,75,list,kruskals,0.0038975
20,75,list,kruskals,0.003848208
20,75,list,kruskals,0.003876208
20,75,list,kruskals,0.003957417
20,75,list,kruskals,0.003855792
20,75,list,kruskals,0.00383225
20,75,list,kruskals,0.004063125
20,75,list,kruskals,0.003809459
20,100,matrix,prims,0.00955525
20,100,matrix,prims,0.009891417
20,100,matrix,prims,0.009518791
20,100,matrix,prims,0.009462125
20,100,matrix,prims,0.009401041
20,100,matrix,prims,0.009549
20,100,matrix,prims,0.009574625
20,100,matrix,prims,0.009360541
20,100,matrix,prims,0.009598583
20,100,matrix,prims,0.009461333
20,100,matrix,kruskals,0.011504166999657173
20,100,matrix,kruskals,0.011592625000048429
20,100,matrix,kruskals,0.011529124996741302
20,100,matrix,kruskals,0.011426625002059154
20,100,matrix,kruskals,0.011359999996784609
20,100,matrix,kruskals,0.011471040998003446
20,100,matrix,kruskals,0.011568333000468556
20,100,matrix,kruskals,0.011376834001566749
20,100,matrix,kruskals,0.011547041
20,100,matrix,kruskals,0.011469791999843437
20,100,list,prims,0.002090459
20,100,list,prims,0.001912875
20,100,list,prims,0.0019285
20,100,list,prims,0.001894709
20,100,list,prims,0.001920042
20,100,list,prims,0.00192525
20,100,list,prims,0.001992666
20,100,list,prims,0.001947625
20,100,list,prims,0.001876667
20,100,list,prims,0.001912584
20,100,list,kruskals,0.00402575
20,100,list,kruskals,0.00407725
20,100,list,kruskals,0.003985042
20,100,list,kruskals,0.003913917
20,100,list,kruskals,0.0039815
20,100,list,kruskals,0.003954792
20,100,list,kruskals,0.004000291
20,100,list,kruskals,0.003960875
20,100,list,kruskals,0.004090708
20,100,list,kruskals,0.003941667
30,0,matrix,prims,0.044163
30,0,matrix,prims,0.043436291
30,0,matrix,prims,0.044187291
30,0,matrix,prims,0.043081707997771446
30,0,matrix,prims,0.043134709
30,0,matrix,prims,0.043055832997197285
30,0,matrix,prims,0.043149458
30,0,matrix,prims,0.043113542000355665
30,0,matrix,prims,0.042843916002311744
30,0,matrix,prims,0.043048625004303176
30,0,matrix,kruskals,0.045651417
30,0,matrix,kruskals,0.045116082997992635
30,0,matrix,kruskals,0.047192625
30,0,matrix,kruskals,0.047171792
30,0,matrix,kruskals,0.04629075
30,0,matrix,kruskals,0.046853583
30,0,matrix,kruskals,0.046097375
30,0,matrix,kruskals,0.046965374996943865
30,0,matrix,kruskals,0.046453625000140164
30,0,matrix,kruskals,0.046332041994901374
30,0,list,prims,0.003726
30,0,list,prims,0.003263459
30,0,list,prims,0.003044584
30,0,list,prims,0.00320975
30,0,list,prims,0.00303825
30,0,list,prims,0.003069667
30,0,list,prims,0.003017666
30,0,list,prims,0.003131791
30,0,list,prims,0.002998792
30,0,list,prims,0.003053875
30,0,list,kruskals,0.005064959
30,0,list,kruskals,0.0050925
30,0,list,kruskals,0.004983292
30,0,list,kruskals,0.005104333
30,0,list,kruskals,0.004926917
30,0,list,kruskals,0.00498625
30,0,list,kruskals,0.005112542
30,0,list,kruskals,0.00498075
30,0,list,kruskals,0.0050105
30,0,list,kruskals,0.005085291
30,25,matrix,prims,0.045054292
30,25,matrix,prims,0.046198208001442254
30,25,matrix,prims,0.044481041
30,25,matrix,prims,0.045209084
30,25,matrix,prims,0.044855333
30,25,matrix,prims,0.044831083
30,25,matrix,prims,0.044098417
30,25,matrix,prims,0.044474166999862064
30,25,matrix,prims,0.043997041
30,25,matrix,prims,0.044259708
30,25,matrix,kruskals,0.048364375
30,25,matrix,kruskals,0.048648582996975165
30,25,matrix,kruskals,0.048708834
30,25,matrix,kruskals,0.048170291
30,25,matrix,kruskals,0.048325999996450264
30,25,matrix,kruskals,0.048633542
30,25,matrix,kruskals,0.048165041000174824
30,25,matrix,kruskals,0.048078875
30,25,matrix,kruskals,0.047667084
30,25,matrix,kruskals,0.048782207995827775
30,25,list,prims,0.004194042
30,25,list,prims,0.003996042
30,25,list,prims,0.003775
30,25,list,prims,0.003731375
30,25,list,prims,0.003719584
30,25,list,prims,0.003751875
30,25,list,prims,0.003832375
30,25,list,prims,0.003747167
30,25,list,prims,0.003726125
30,25,list,prims,0.003844875
30,25,list,kruskals,0.007297542
30,25,list,kruskals,0.007514042
30,25,list,kruskals,0.007211833
30,25,list,kruskals,0.007268042
30,25,list,kruskals,0.007191
30,25,list,kruskals,0.007304458
30,25,list,kruskals,0.007164542
30,25,list,kruskals,0.007349583
30,25,list,kruskals,0.007227959
30,25,list,kruskals,0.00729725
30,50,matrix,prims,0.044458874996053055
30,50,matrix,prims,0.045914375
30,50,matrix,prims,0.044897875
30,50,matrix,prims,0.044898833002662286
30,50,matrix,prims,0.044593792
30,50,matrix,prims,0.044633834
30,50,matrix,prims,0.045022625
30,50,matrix,prims,0.044195666996529326
